id Avg 1D XGBoost LightGBM NN LSTM
0.000000000000000000e+00 1.393399855758689909e-01 1.634354635407888057e-01 8.414401933349657803e-02 1.313225874696584139e-01 1.089492663741111755e-01 1.049617081880569458e-01
1.132000000000000000e+03 6.272673822915511566e-02 5.337218194181915509e-02 7.614452862848052062e-02 6.314183680686936972e-02 5.455092713236808777e-02 6.268092989921569824e-02
1.885000000000000000e+03 7.748427269271998541e-02 9.320426553107459544e-02 6.249046149142054724e-02 7.081674426245578025e-02 7.073866575956344604e-02 7.075227797031402588e-02
1.000000000000000000e+00 7.067824677258753574e-02 7.127352756017325819e-02 8.442887754716582593e-02 7.067824676288385344e-02 7.073923945426940918e-02 6.872982531785964966e-02
1.508000000000000000e+03 6.723627487117869728e-02 8.488759392346560684e-02 7.301016843271347645e-02 6.951929471148238227e-02 6.723298877477645874e-02 6.707575917243957520e-02
1.887000000000000000e+03 9.205914382268459706e-02 1.065789183182760808e-01 1.043909206387314825e-01 9.115592868387846492e-02 9.077352285385131836e-02 8.735431730747222900e-02
2.000000000000000000e+00 9.733525224710030954e-02 9.368945386089584659e-02 7.862019953533487537e-02 9.661377933882557556e-02 7.143747061491012573e-02 6.950043886899948120e-02
3.770000000000000000e+02 4.902091713849357490e-02 4.803942066517492143e-02 4.878329559840890312e-02 4.886232903895759011e-02 4.699511453509330750e-02 4.699477180838584900e-02
1.509000000000000000e+03 6.985215902008734545e-02 7.438590988407479954e-02 4.616114613388935806e-02 6.985215947186501628e-02 6.154553219676017761e-02 6.920959055423736572e-02
4.000000000000000000e+00 8.189415741160040174e-02 9.596544388227844224e-02 7.070441303037526548e-02 8.189415731416220534e-02 7.613752782344818115e-02 7.514291256666183472e-02
1.888000000000000000e+03 3.634914193733347620e-02 4.000340531508534553e-02 4.451400578534372293e-02 3.634914192987431097e-02 3.641187027096748352e-02 3.602464124560356140e-02
5.000000000000000000e+00 4.187329483403112729e-02 4.474773476193656674e-02 7.800500288420693373e-02 4.491782416599861272e-02 3.300913795828819275e-02 3.155839815735816956e-02
3.780000000000000000e+02 6.239977844353732095e-02 7.968075691330511745e-02 6.296505479750298673e-02 6.469239317745736906e-02 6.039347499608993530e-02 6.030557304620742798e-02
1.511000000000000000e+03 8.928182282575003459e-02 8.715743957533506059e-02 9.169914211790534952e-02 8.996433712370439928e-02 8.078870922327041626e-02 8.078873902559280396e-02
1.893000000000000000e+03 9.939336848813556946e-02 1.120034094756789805e-01 1.032300831598768343e-01 1.042463612551717406e-01 9.633808583021163940e-02 9.634359180927276611e-02
7.550000000000000000e+02 7.190708895478942209e-02 8.953656818541576301e-02 6.556687887894081801e-02 7.254163414903110063e-02 6.509152799844741821e-02 6.509129703044891357e-02
3.790000000000000000e+02 9.067877987911505955e-02 1.026907605571561327e-01 7.728523755736078915e-02 9.485623389291507335e-02 7.201004028320312500e-02 7.204717397689819336e-02
1.133000000000000000e+03 6.038281396248298266e-02 5.996274331225855125e-02 6.563038889635194884e-02 6.073111431853281394e-02 5.216183140873908997e-02 5.216162651777267456e-02
7.560000000000000000e+02 9.673619917801039303e-02 1.181606349057634925e-01 1.035845753817149356e-01 9.751682602328275162e-02 9.446665644645690918e-02 9.415953606367111206e-02
1.135000000000000000e+03 9.407785341218728725e-02 1.080103369269922314e-01 9.741809049072180926e-02 9.407785406353692814e-02 9.107011556625366211e-02 8.889038115739822388e-02
3.810000000000000000e+02 1.069820624337770032e-01 1.170778672848321461e-01 1.061735351458480692e-01 1.013819706001669735e-01 9.497627615928649902e-02 9.338267892599105835e-02
1.512000000000000000e+03 7.151716582212418183e-02 6.483120053890370493e-02 7.515626703171779388e-02 7.067325264975674037e-02 7.162695378065109253e-02 7.092936336994171143e-02
1.894000000000000000e+03 1.011917316800325234e-01 1.034428260830675128e-01 8.255380420343083614e-02 9.941919714756868032e-02 8.269908279180526733e-02 8.241371810436248779e-02
3.820000000000000000e+02 6.385581166532321162e-02 7.939655715573132322e-02 6.352345843123044511e-02 6.385581167950586667e-02 3.865201771259307861e-02 6.057905033230781555e-02
7.570000000000000000e+02 5.659802729443712960e-02 5.736584927018186647e-02 7.318593481411242441e-02 5.642170930603183227e-02 5.512543395161628723e-02 5.417839065194129944e-02
1.136000000000000000e+03 1.331933240048980283e-01 1.025409177169183950e-01 9.180541938374940647e-02 1.266090281328485223e-01 1.279938519001007080e-01 1.279468983411788940e-01
3.830000000000000000e+02 1.074765772985183249e-01 2.429344850945318879e-01 9.552022628791839720e-02 1.074765771103853296e-01 9.822450578212738037e-02 6.530766189098358154e-02
7.000000000000000000e+00 6.479877908733584768e-02 7.030431573173491488e-02 6.617091023892639201e-02 6.428981209829524868e-02 5.423604696989059448e-02 5.422381684184074402e-02
1.896000000000000000e+03 6.237828233826549912e-02 7.543850538530311178e-02 5.910057719617956007e-02 6.620060885897313674e-02 5.641343817114830017e-02 5.641230195760726929e-02
7.580000000000000000e+02 4.818283366381612143e-02 2.706081088754278344e-02 4.792550456204066472e-02 4.818283366381612143e-02 2.431141771376132965e-02 4.500724747776985168e-02
9.000000000000000000e+00 9.343115495958399797e-02 1.228501000424244566e-01 7.684463242730230070e-02 9.343115499441245753e-02 8.060368150472640991e-02 8.254501223564147949e-02
1.137000000000000000e+03 4.839286770554193651e-02 8.704975653409555147e-02 6.402080752933353436e-02 5.074669642401437308e-02 4.839313030242919922e-02 4.816639795899391174e-02
1.513000000000000000e+03 5.143309028952257334e-02 6.594481581320185692e-02 5.763351734546652561e-02 5.197547972687641821e-02 5.136685818433761597e-02 5.125305056571960449e-02
3.870000000000000000e+02 8.128551285513041513e-02 1.446504946190388108e-01 9.239385735063390670e-02 8.296976474620577913e-02 8.118518441915512085e-02 8.106121420860290527e-02
1.000000000000000000e+01 1.190430597184735789e-01 1.150140599366924338e-01 8.400160076496406003e-02 1.104686572268177708e-01 8.574192970991134644e-02 8.533335477113723755e-02
3.880000000000000000e+02 7.925086345068098337e-02 7.900750871141007381e-02 6.567417539548515981e-02 7.925086285900706518e-02 7.009179890155792236e-02 6.830796599388122559e-02
1.515000000000000000e+03 6.947402628778423517e-02 7.146050120680688678e-02 7.220401778060089870e-02 6.976423897668039553e-02 6.939874589443206787e-02 6.593449413776397705e-02
1.100000000000000000e+01 6.710956740750564919e-02 6.770145473076447096e-02 5.552277359272116825e-02 6.148069934524390268e-02 5.418756231665611267e-02 5.418847873806953430e-02
1.140000000000000000e+03 4.859892834363151171e-02 7.477391483362619273e-02 3.992754064874962094e-02 4.859892871882461052e-02 4.882692918181419373e-02 4.792206361889839172e-02
7.590000000000000000e+02 6.827766891991231268e-02 8.606371548621440104e-02 9.097985982607656452e-02 7.044495547095826204e-02 6.643544137477874756e-02 6.642623990774154663e-02
1.141000000000000000e+03 8.026915960453229193e-02 9.892847727138991132e-02 9.170531384339125625e-02 8.026915973957718387e-02 9.113801270723342896e-02 7.311625033617019653e-02
1.519000000000000000e+03 1.158685567799204175e-01 1.312021390882636140e-01 9.554723733937496577e-02 1.158685567652799203e-01 7.821410894393920898e-02 1.027444601058959961e-01
1.200000000000000000e+01 1.912204813362656242e-01 1.914683860976680585e-01 1.551504808193375218e-01 1.916389277557001558e-01 1.529369652271270752e-01 1.426720470190048218e-01
1.897000000000000000e+03 7.018843752906819833e-02 7.542751507521870680e-02 8.287333128521102987e-02 7.101006953352703710e-02 6.992679834365844727e-02 6.991278380155563354e-02
1.500000000000000000e+01 1.229451209661096417e-01 1.662832604035455464e-01 1.052083799950184473e-01 1.229451210075121759e-01 6.478416174650192261e-02 1.087899208068847656e-01
3.890000000000000000e+02 4.937680488277715329e-02 5.088643924508497174e-02 4.894806932115290665e-02 4.975898362073018222e-02 4.375891014933586121e-02 4.372793436050415039e-02
1.520000000000000000e+03 4.834123933160855424e-02 5.029058543202907794e-02 5.904935838482795740e-02 4.920951584502897269e-02 4.834054782986640930e-02 4.601867124438285828e-02
1.142000000000000000e+03 8.983802972941884457e-02 9.340074927712052610e-02 4.887793324282081048e-02 8.702166739283712094e-02 6.266743689775466919e-02 6.161883473396301270e-02
1.898000000000000000e+03 1.061987873338771787e-01 3.536868051947475444e-01 1.497310967128988035e-01 1.061987873328460036e-01 1.063081473112106323e-01 1.033736765384674072e-01
1.600000000000000000e+01 1.464107048756062013e-01 1.669845202749780100e-01 1.142567698535208592e-01 1.475161617835927530e-01 1.008445173501968384e-01 9.989207983016967773e-02
7.610000000000000000e+02 6.130362323484338932e-02 6.416097829915200224e-02 4.623127273255768499e-02 6.104826346152659317e-02 4.498184472322463989e-02 4.497881233692169189e-02
3.910000000000000000e+02 6.853853534603569775e-02 9.456854592711506913e-02 5.669374365489033424e-02 6.805447834372010951e-02 4.726249352097511292e-02 4.693617299199104309e-02
1.143000000000000000e+03 3.290434808587378718e-02 2.603750079923787542e-02 3.422774680187495866e-02 3.202678618982538611e-02 2.884326875209808350e-02 2.821595408022403717e-02
1.521000000000000000e+03 7.702868234216522780e-02 8.902748721053455050e-02 7.611350999523949779e-02 7.725203135178548841e-02 7.954172790050506592e-02 7.694112509489059448e-02
3.940000000000000000e+02 1.139504452474283391e-01 1.109806779180542019e-01 7.928682791425323284e-02 1.133329340323213780e-01 7.410337030887603760e-02 7.281218469142913818e-02
7.630000000000000000e+02 1.499519758572014361e-01 9.181448386702535658e-02 8.262750314453155831e-02 1.434515925165326666e-01 6.627079099416732788e-02 6.614556908607482910e-02
1.522000000000000000e+03 9.241200097765132904e-02 9.486795081719345824e-02 9.395118395975643466e-02 9.382104016798505086e-02 9.916717559099197388e-02 9.107481688261032104e-02
1.700000000000000000e+01 4.989984794614551328e-02 5.095073987316582620e-02 4.257534991783266942e-02 4.898324334194723018e-02 4.016193374991416931e-02 3.982834890484809875e-02
1.899000000000000000e+03 5.925070643212853455e-02 5.922516677388912215e-02 6.890495562745405089e-02 5.893037632358929384e-02 5.919928848743438721e-02 5.910981819033622742e-02
7.650000000000000000e+02 8.793663948836592803e-02 8.951938792921869392e-02 7.902945018446672076e-02 8.555934295618190799e-02 7.793675363063812256e-02 7.790029048919677734e-02
1.524000000000000000e+03 5.677184365761844820e-02 5.623076347221701160e-02 8.640615465195691791e-02 5.509620400514331218e-02 5.347037315368652344e-02 5.622220411896705627e-02
1.526000000000000000e+03 1.328369345291662562e-01 1.334625814605139849e-01 1.108137491963544358e-01 1.328369332628479282e-01 8.884223550558090210e-02 9.191410243511199951e-02
1.800000000000000000e+01 8.276730459779092774e-02 8.009140871905200132e-02 9.104561243231333589e-02 8.051783394251867121e-02 8.539780974388122559e-02 8.159548789262771606e-02
2.000000000000000000e+01 7.611513047842087543e-02 1.070990674836823364e-01 6.998717510596122460e-02 7.813952568732468462e-02 6.077085062861442566e-02 6.065450236201286316e-02
1.529000000000000000e+03 1.188131690595141121e-01 1.500110604920141533e-01 1.588955806878631638e-01 1.177160531732847765e-01 1.190212815999984741e-01 1.187408193945884705e-01
1.900000000000000000e+03 1.230713086846473847e-01 1.218505336893933172e-01 7.621861743480806695e-02 1.124761433772576008e-01 8.376955240964889526e-02 8.355504274368286133e-02
2.200000000000000000e+01 1.495165285294436375e-01 1.273273700421994059e-01 1.170688902031515599e-01 1.495165285463376237e-01 1.159895434975624084e-01 1.256180852651596069e-01
7.660000000000000000e+02 7.253029140047805023e-02 7.131744902092539140e-02 7.153663535671825335e-02 6.850488471830609716e-02 6.034225225448608398e-02 6.034254655241966248e-02
1.144000000000000000e+03 6.296929366749927370e-02 7.596598694893216819e-02 8.779009122125056019e-02 6.415351717501356632e-02 6.252905726432800293e-02 6.251246482133865356e-02
2.500000000000000000e+01 7.808577295692602227e-02 8.913605365342307241e-02 7.189107401187330715e-02 7.825859032834812934e-02 9.380106627941131592e-02 7.618146389722824097e-02
1.904000000000000000e+03 6.929394558910388635e-02 6.821793503825346328e-02 4.799941655857873496e-02 6.768672795983095292e-02 4.717982187867164612e-02 4.690775647759437561e-02
2.600000000000000000e+01 1.310123163218543940e-01 1.292096333241731509e-01 1.169252750599518026e-01 1.303468347645491132e-01 1.286255121231079102e-01 1.282686740159988403e-01
1.531000000000000000e+03 7.586418984250233033e-02 8.493803151746581737e-02 7.698905223209068227e-02 7.776918713725919363e-02 6.585412472486495972e-02 6.584487855434417725e-02
1.145000000000000000e+03 3.975343426291318844e-02 4.593017156178712257e-02 4.412830751306567878e-02 4.042481606455052001e-02 3.974934294819831848e-02 3.941433131694793701e-02
1.905000000000000000e+03 8.262843812720041536e-02 8.227838724325653441e-02 5.572417700816862524e-02 8.233510340115257620e-02 7.166971266269683838e-02 7.196259498596191406e-02
1.532000000000000000e+03 1.538716363941210197e-01 1.617824177262910390e-01 9.723971328722429142e-02 1.538716365507140638e-01 1.214778795838356018e-01 1.212649494409561157e-01
1.910000000000000000e+03 1.031213162414509055e-01 1.041601119491478294e-01 7.672003241666201789e-02 1.031213162745964612e-01 7.913372665643692017e-02 7.840321213006973267e-02
2.800000000000000000e+01 8.974629032023057063e-02 1.343776918266937626e-01 1.375660446078970922e-01 8.974629052899821269e-02 1.193280518054962158e-01 8.940535038709640503e-02
3.950000000000000000e+02 4.624848998937184513e-02 5.195120765491681447e-02 8.158398515272556606e-02 4.517268147042175636e-02 4.638127237558364868e-02 4.621048271656036377e-02
3.000000000000000000e+01 6.328400239176960873e-02 9.092740284009835638e-02 8.142138708635364430e-02 6.356406116296021980e-02 6.261385232210159302e-02 6.203486770391464233e-02
1.912000000000000000e+03 7.936813436564230106e-02 9.625308364582135789e-02 5.846627366585411406e-02 8.524772846014762318e-02 5.534635856747627258e-02 5.527890101075172424e-02
7.690000000000000000e+02 4.907901686778285560e-02 4.857961064032253334e-02 5.190568535900180053e-02 4.766379679525011015e-02 4.907926917076110840e-02 4.876966401934623718e-02
1.534000000000000000e+03 7.889100898062322009e-02 7.676165017945044133e-02 7.673930207555518246e-02 7.842886549131719565e-02 7.880292832851409912e-02 7.872335612773895264e-02
1.913000000000000000e+03 6.412748017291405866e-02 6.498180280026567834e-02 7.159723603454623553e-02 6.442960750875854903e-02 6.124594435095787048e-02 6.128651648759841919e-02
3.960000000000000000e+02 5.545802654781550878e-02 5.194098438125142186e-02 6.168860482301911224e-02 5.370175281075903473e-02 5.460543185472488403e-02 5.394259095191955566e-02
1.147000000000000000e+03 6.511599704794392152e-02 6.890200747007935167e-02 9.043412203628597990e-02 6.453969178192998923e-02 6.412580609321594238e-02 6.412787735462188721e-02
