Rider name,The link
Pogačar Tadej,rider/tadej-pogacar
van Aert Wout,rider/wout-van-aert
Roglič Primož,rider/primoz-roglic
Alaphilippe Julian,rider/julian-alaphilippe
Valverde Alejandro,rider/alejandro-valverde
Colbrelli Sonny,rider/sonny-colbrelli
Evenepoel Remco,rider/remco-evenepoel
Almeida João,rider/joao-almeida
Vingegaard Jonas,rider/jonas-vingegaard-rasmussen
Mohorič Matej,rider/matej-mohoric
Yates Adam,rider/adam-yates
Philipsen Jasper,rider/jasper-philipsen
Merlier Tim,rider/tim-merlier
Carapaz Richard,rider/richard-carapaz
Cavendish Mark,rider/mark-cavendish
Gaudu David,rider/david-gaudu
Mas Enric,rider/enric-mas
Woods Michael,rider/michael-woods
Yates Simon,rider/simon-yates
Asgreen Kasper,rider/kasper-asgreen
van der Poel Mathieu,rider/mathieu-van-der-poel
Bilbao Pello,rider/pello-bilbao
Quintana Nairo,rider/nairo-quintana
Bernal Egan,rider/egan-bernal
Matthews Michael,rider/michael-matthews
Nizzolo Giacomo,rider/giacomo-nizzolo
Jakobsen Fabio,rider/fabio-jakobsen
Martin Guillaume,rider/guillaume-martin
Küng Stefan,rider/stefan-kung
Ulissi Diego,rider/diego-ulissi
Trentin Matteo,rider/matteo-trentin
Caruso Damiano,rider/damiano-caruso
Lutsenko Alexey,rider/aleksey-lutsenko
Porte Richie,rider/richie-porte
Laporte Christophe,rider/christophe-laporte
Vlasov Aleksandr,rider/aleksandr-vlasov
van Poppel Danny,rider/danny-van-poppel
Stuyven Jasper,rider/jasper-stuyven
Démare Arnaud,rider/arnaud-demare
McNulty Brandon,rider/brandon-mcnulty
Hayter Ethan,rider/ethan-hayter
Mollema Bauke,rider/bauke-mollema
Bardet Romain,rider/romain-bardet
O'Connor Ben,rider/ben-o-connor
Kelderman Wilco,rider/wilco-kelderman
van Baarle Dylan,rider/dylan-van-baarle
Sagan Peter,rider/peter-sagan
Cosnefroy Benoît,rider/benoit-cosnefroy
Ackermann Pascal,rider/pascal-ackermann
Kristoff Alexander,rider/alexander-kristoff
Haig Jack,rider/jack-haig
Thomas Geraint,rider/geraint-thomas
Honoré Mikkel Frølich,rider/mikkel-honore
Izagirre Ion,rider/ion-izagirre
Urán Rigoberto,rider/rigoberto-uran
Ganna Filippo,rider/filippo-ganna
Covi Alessandro,rider/alessandro-covi
Bouhanni Nacer,rider/nacer-bouhanni
Cattaneo Mattia,rider/mattia-cattaneo
Hofstetter Hugo,rider/hugo-hofstetter
Masnada Fausto,rider/fausto-masnada
Sénéchal Florian,rider/florian-senechal
Wellens Tim,rider/tim-wellens
Walscheid Max,rider/max-walscheid
Pedersen Mads,rider/mads-pedersen
Hirschi Marc,rider/marc-hirschi
Lampaert Yves,rider/yves-lampaert
Martínez Daniel Felipe,rider/daniel-felipe-martinez
Kuss Sepp,rider/sepp-kuss
Chaves Esteban,rider/johan-esteban-chaves
Barguil Warren,rider/warren-barguil
Viviani Elia,rider/elia-viviani
Swift Connor,rider/connor-swift
Hermans Ben,rider/ben-hermans
Poels Wout,rider/wout-poels
Valgren Michael,rider/michael-valgren-andersen
