date,result ranking,race name,distance
1995-06-04,13.0,US Pro Championship () ,250.0
1995-04-30,19.0,GP du canton d'Argovie () ,196.0
1995-04-23,43.0,Tour de Berne () ,206.4
1995-01-31,31.0,Grand Prix d'Ouverture La Marseillaise () ,142.6
1995-06-04,13.0,US Pro Championship () ,250.0
1995-04-30,19.0,GP du canton d'Argovie () ,196.0
1995-04-23,43.0,Tour de Berne () ,206.4
1995-01-31,31.0,Grand Prix d'Ouverture La Marseillaise () ,142.6
